name,url,star,comment,avg_price,taste,environment,services,recommend
京炉·北京烤鸭火锅(大宁音乐广场店),http://www.dianping.com/shop/98634894,五星商户,846,134,9,9,9,"烤鸭,胡椒猪肚鸭骨汤,红糖糍粑"
海底捞火锅(高科东路店),http://www.dianping.com/shop/127652433,五星商户,397,135,9.2,9.2,9.2,"招牌虾滑,捞派滑牛肉,番茄牛肉粒汤"
海底捞火锅(三德广场店),http://www.dianping.com/shop/128001304,五星商户,138,146,9.1,9.2,9.1,"番茄锅底,捞派毛肚,牛油麻辣锅底"
行家海鲜火锅酒家,http://www.dianping.com/shop/112289987,五星商户,492,453,9.2,9.2,9.3,"花胶黄鱼锅底,奶冻,牛肉粒"
尽膳口福跷脚牛肉(新天地店),http://www.dianping.com/shop/122598019,五星商户,232,172,9.2,9.1,9.3,"九秒牛肉,红糖糍粑,一米牛舌"
逸春园海鲜酒家·港式点心火锅(长宁来福士店),http://www.dianping.com/shop/98448726,五星商户,869,246,9.1,9.1,9.1,"龙虾野菌金汤锅,泰好味腌生虾,红烧乳鸽"
南门涮肉(世博源店),http://www.dianping.com/shop/98781362,五星商户,3404,131,9,8.9,9,"鲜羊肉,麻酱小料,羊上脑"
潮香牛宴潮汕鲜牛肉火锅(飞洲国际广场店),http://www.dianping.com/shop/45333755,准五星商户,7506,17,8.9,8.4,8.7,"吊龙,嫩牛,炸腐皮"
凯达石斑鱼打边炉(长寿路店),http://www.dianping.com/shop/6328747,五星商户,6247,154,9.1,8.6,9.3,"海南文昌鸡,石斑鱼皮,石斑鱼丸"
牛New寿喜烧(徐汇店),http://www.dianping.com/shop/6603735,准五星商户,12623,130,8.8,8.6,8.5,"寿喜锅,牛肩肉,肥牛"
那都不是锅港式打边炉(金桥店),http://www.dianping.com/shop/112133141,五星商户,1925,139,9.1,8.3,8.8,"鲍鱼,养颜金米浓汤锅,竹蛏王"
季悦火锅(锦江店),http://www.dianping.com/shop/43386343,五星商户,1010,1007,9.3,9.3,9.3,"澳洲和牛,法国吉拉多生蚝,胡椒猪肚鸡锅底"
鼎王无老锅(静安店),http://www.dianping.com/shop/22181024,五星商户,6377,179,9,9.1,9.1,"冰激凌豆腐,面包豆腐白汤锅,招牌鸳鸯锅"
蜀大侠火锅(城市新汇广场店),http://www.dianping.com/shop/69949884,五星商户,4573,158,9.1,9,8.9,"花千骨,冰川鹅肠,一米牛肉(羊肉)"
纯味斑鱼府(浦东店),http://www.dianping.com/shop/21303576,五星商户,8767,163,9.1,8.8,8.9,"招牌斑鱼片,凉拌鱼皮,金桔柠檬汁"
哥老官重庆美蛙鱼头(虹口龙之梦五哥店),http://www.dianping.com/shop/27348970,五星商户,22157,139,9.1,9,9,"特色美蛙,罗宋汤,招牌空运毛肚"
哥老官重庆美蛙鱼头(沪太路大融城店),http://www.dianping.com/shop/108170329,五星商户,1712,135,9.1,9,9,"特色美蛙,招牌空运毛肚,创世纪冰粉"
哥老官重庆美蛙鱼头(莘庄龙之梦八哥店),http://www.dianping.com/shop/67440079,五星商户,8757,133,9,8.8,8.9,"特色美蛙,招牌空运毛肚,罗宋锅"
南门涮肉(中山公园店),http://www.dianping.com/shop/98925978,准四星商户,910,125,7.9,7.4,7.6,"热气羊肉,涮羊肉,羊蝎子"
就是泰Just Thai泰式火锅(张杨店),http://www.dianping.com/shop/122957217,五星商户,518,152,9.2,9.2,9.2,"椰奶冻,冬阴功椰奶鸳鸯锅,鱼子福袋"
鼎王无老锅(黄金城道店),http://www.dianping.com/shop/6075188,五星商户,5841,171,9.1,9.1,9.1,"冰激凌豆腐,面包豆腐白汤锅,招牌鸳鸯锅"
捞王锅物料理(BFC外滩金融中心店),http://www.dianping.com/shop/98081717,五星商户,177,156,9.2,9.3,9.3,"爆浆手打虾丸,猪肚鸡中锅,雪花牛肉"
就是泰Just Thai泰式火锅(长寿路店),http://www.dianping.com/shop/94296766,五星商户,6975,157,9.1,9.1,9.1,"椰香奶冻,特色鸳鸯锅,鱼子福袋"
御品港式肥牛海鲜火锅(虹桥店),http://www.dianping.com/shop/110367131,五星商户,170,692,9.3,9.1,9.2,"招牌雪花牛肉,港式肥牛,加拿大一级象拔蚌"
红魔重庆美蛙火锅(宝山龙湖天街店),http://www.dianping.com/shop/113075823,五星商户,545,1,9.1,9.1,9.1,"红魔招牌辣蛙,自制芝士虾滑,阳光小鲜牛（嫩牛肉）"
上房火鍋(嘉定现厂店),http://www.dianping.com/shop/126639615,五星商户,50,592,9.2,9.3,9.2,"花胶鸡汤,富贵虾,上房三色牛肉"
那都不是锅港式打边炉(嘉定店),http://www.dianping.com/shop/124557787,准五星商户,517,138,9,8.5,9,"鲍鱼,养颜花胶鸡,竹蛏王"
哥老官重庆美蛙鱼头(96广场店),http://www.dianping.com/shop/67749532,五星商户,14520,139,9,8.6,9,"特色美蛙,麻辣罗宋锅,招牌空运毛肚"
幻幻锅物(南京西路店),http://www.dianping.com/shop/113090469,五星商户,167,179,9.1,9.1,9.2,"北国珍灿海胆锅,海胆蒸蛋,海陆雪糕"
鼎王无老锅(茂名北路店),http://www.dianping.com/shop/92996009,五星商户,1655,175,9,9.1,9.1,"冰激凌豆腐,养乐多冰沙,面包豆腐锅"
哥老官重庆美蛙鱼头(滨江百联十二哥店),http://www.dianping.com/shop/91596631,五星商户,2863,135,9.1,9,9,"特色美蛙,罗宋汤,招牌空运毛肚"
哥老官重庆美蛙鱼头(中环百联十五哥店),http://www.dianping.com/shop/92660505,准五星商户,3122,133,9,8.9,8.9,"特色美蛙,招牌空运毛肚,清纯的鸭血"
海底捞火锅(龙茗路店),http://www.dianping.com/shop/5391970,五星商户,4359,137,9.1,9.2,9.3,"番茄锅底,捞派澳洲肥牛,捞派毛肚"
南门涮肉(城隍庙店),http://www.dianping.com/shop/114470010,准五星商户,678,122,8.7,8.1,8.3,"热气羊肉,现切牛羊肉,涮羊肉"
洪太极热气羊肉羊蝎子火锅(徐汇店),http://www.dianping.com/shop/69711586,五星商户,2265,136,9,8.8,9,"招牌馕坑烤羊蝎子,红柳枝烤羊肉串,冰泉水火锅"
捞王锅物料理(虹口龙之梦店),http://www.dianping.com/shop/112229873,五星商户,228,143,9.1,9.2,9,"猪肚鸡,爆浆手打虾丸,玫瑰雪花牛舌"
海底捞火锅(张杨路店),http://www.dianping.com/shop/4271630,五星商户,14586,142,9.1,9.1,9.3,"招牌虾滑,功夫面,羊肉卷"
海底捞火锅(张杨路店),http://www.dianping.com/shop/4271630,五星商户,14586,142,9.1,9.1,9.3,"招牌虾滑,功夫面,羊肉卷"
正國老火锅(魔都直营店),http://www.dianping.com/shop/97702316,准五星商户,197,146,9,8.3,8.8,"金牌活杀牛蛙,招牌重庆老灶火锅,鲜鸭血"
海底捞火锅(118广场店),http://www.dianping.com/shop/92871687,五星商户,2337,139,9.2,9.2,9.3,"番茄锅底,招牌虾滑,捞派毛肚"
海底捞火锅(长寿路店),http://www.dianping.com/shop/2483137,五星商户,14442,135,8.7,8.8,9.2,"捞派滑牛肉,虾滑特新鲜,功夫面"
海底捞火锅(中信泰富万达广场店),http://www.dianping.com/shop/125400850,五星商户,350,135,9.1,9.2,9.2,"招牌虾滑,番茄锅底,自选小料"
哥老官重庆美蛙鱼头(日月光店),http://www.dianping.com/shop/15959175,五星商户,30234,136,9.1,8.8,8.9,"极品肥牛,鲜黄喉,罗宋汤锅底"
左庭右院鲜牛肉火锅(联洋广场店),http://www.dianping.com/shop/126942662,准五星商户,41,132,8.9,8.7,8.9,"吊龙,匙皮肉,胸口涝"
就是泰Just Thai泰式火锅(打浦桥日月光店),http://www.dianping.com/shop/102209028,五星商户,2850,153,9.1,9.1,9.1,"椰香奶冻,特色鸳鸯锅,鱼子福袋"
哥老官重庆美蛙鱼头(文峰广场十三哥店),http://www.dianping.com/shop/91596480,五星商户,3655,132,9.1,9,9.1,"特色美蛙,罗宋汤,招牌空运毛肚"
海底捞火锅(江桥万达店),http://www.dianping.com/shop/44280768,五星商户,2697,144,9.2,9.2,9.2,"招牌虾滑,番茄双色汤底,捞派毛肚"
海底捞火锅(沪太路店),http://www.dianping.com/shop/5453516,五星商户,6226,135,9.2,9.2,9.3,"番茄锅底,招牌虾滑,捞派澳洲肥牛"
蜀大侠火锅(人民广场店),http://www.dianping.com/shop/92748939,准五星商户,3319,144,8.6,8.4,8.2,"花千骨,红糖糍粑,贵妃牛肉"
就是泰Just Thai泰式火锅(金陵东路店),http://www.dianping.com/shop/26232805,五星商户,25990,157,9.1,9,9.1,"椰香奶冻,鱼子福袋,招牌龙虾冬阴功锅"
楼上火锅(南汇路店),http://www.dianping.com/shop/93894867,五星商户,3389,481,9.2,9.1,9.2,"金牌土鸡花胶锅,斑节虾,炸粟米"
哥老官重庆美蛙鱼头(人民广场店),http://www.dianping.com/shop/19612173,五星商户,30514,141,9.1,8.5,8.8,"特色美蛙,牛油罗宋锅,又肥又嫩的牛娃。"
今日牛事潮汕鲜牛肉火锅(静安寺店),http://www.dianping.com/shop/32445963,准五星商户,4875,133,9,9,8.8,"吊龙,手打牛肉丸,招牌锅底"
就是泰Just Thai 泰式火锅(虹桥南丰城店),http://www.dianping.com/shop/102423908,五星商户,1806,156,9.1,9.2,9.2,"招牌鸳鸯锅底（冬阴+椰奶）,椰子冻,鱼子福袋"
海底捞火锅(漕宝路店),http://www.dianping.com/shop/113152415,五星商户,851,141,9.1,9.2,9.2,"番茄锅底,招牌虾滑,精品肥牛"
煲宫(月星环球港店),http://www.dianping.com/shop/91746570,五星商户,1805,132,9,8.8,9.1,"煲宫养生猪肚鸡,特制炸豆皮,特色煲仔饭"
绝代芳华,http://www.dianping.com/shop/108227148,五星商户,568,550,9.1,9.3,8.8,"囍欢流沙包,牛魔王拼盘,火焰龙虾番茄牛尾汤"
海底捞火锅(百盛购物中心店),http://www.dianping.com/shop/110424068,五星商户,1261,141,9.1,9.2,9.2,"番茄锅底,招牌虾滑,捞派毛肚"
